r	Ar-Ar
3.150000	0.000000
3.170000	0.000000
3.190000	0.000000
3.210000	0.000000
3.230000	0.000000
3.250000	0.000000
3.270000	0.000000
3.290000	0.000000
3.310000	0.000000
3.330000	0.000000
3.350000	0.000000
3.370000	0.000000
3.390000	0.000000
3.410000	0.000000
3.430000	0.000000
3.450000	0.000000
3.470000	0.000000
3.490000	0.000000
3.510000	0.000000
3.530000	0.000000
3.550000	0.000000
3.570000	0.000000
3.590000	0.000000
3.610000	0.000000
3.630000	0.000000
3.650000	0.000000
3.670000	0.000000
3.690000	0.000000
3.710000	0.000000
3.730000	0.000000
3.750000	0.000000
3.770000	0.000000
3.790000	0.000000
3.810000	0.000000
3.830000	0.000000
3.850000	0.000000
3.870000	0.000000
3.890000	0.000000
3.910000	0.000000
3.930000	0.000000
3.950000	0.000000
3.970000	0.000000
3.990000	0.000000
4.010000	0.460053
4.030000	0.455498
4.050000	0.451011
4.070000	1.786357
4.090000	0.884465
4.110000	0.875878
4.130000	0.867415
4.150000	1.288612
4.170000	0.425427
4.190000	0.000000
4.210000	0.000000
4.230000	0.000000
4.250000	0.819123
4.270000	2.028670
4.290000	0.803919
4.310000	0.796476
4.330000	0.394568
4.350000	0.000000
4.370000	2.324264
4.390000	1.151567
4.410000	1.141146
4.430000	1.507821
4.450000	1.494298
4.470000	1.110717
4.490000	1.100844
4.510000	0.727401
4.530000	0.720993
4.550000	0.000000
4.570000	0.708427
4.590000	0.351133
4.610000	1.044279
4.630000	2.070554
4.650000	0.000000
4.670000	0.678412
4.690000	0.336319
4.710000	0.666938
4.730000	0.661310
4.750000	1.639382
4.770000	0.975398
4.790000	0.967270
4.810000	1.278990
4.830000	2.219735
4.850000	0.628990
4.870000	1.247669
4.890000	0.000000
4.910000	0.920567
4.930000	1.826227
4.950000	0.301917
4.970000	0.898475
4.990000	0.594191
5.010000	0.589457
5.030000	1.461946
5.050000	1.160311
5.070000	0.863381
5.090000	1.142146
5.110000	1.699835
5.130000	1.967708
5.150000	1.394610
5.170000	1.937378
5.190000	0.000000
5.210000	0.545070
5.230000	1.893181
5.250000	1.341988
5.270000	1.598186
5.290000	1.057416
5.310000	1.049466
5.330000	1.302006
5.350000	1.292290
5.370000	0.769609
5.390000	0.763908
5.410000	0.252757
5.430000	1.254492
5.450000	0.747181
5.470000	0.247242
5.490000	0.736333
5.510000	0.000000
5.530000	0.241906
5.550000	1.200830
5.570000	0.953777
5.590000	0.710224
5.610000	0.940225
5.630000	1.166946
5.650000	1.158699
5.670000	1.150539
5.690000	2.284930
5.710000	0.453790
5.730000	0.225314
5.750000	1.342496
5.770000	0.666603
5.790000	0.662006
5.810000	0.657456
5.830000	0.435302
5.850000	0.648496
5.870000	0.858779
5.890000	1.492674
5.910000	0.847193
5.930000	0.420744
5.950000	1.044801
5.970000	0.830250
5.990000	1.030894
6.010000	0.614426
6.030000	1.220715
6.050000	1.414767
6.070000	1.405459
6.090000	1.196780
6.110000	2.179755
6.130000	0.590606
6.150000	0.782361
6.170000	1.165946
6.190000	1.544565
6.210000	2.493777
6.230000	0.571798
6.250000	1.136289
6.270000	1.317227
6.290000	0.747922
6.310000	0.928985
6.330000	1.292374
6.350000	1.467709
6.370000	1.640821
6.390000	0.905870
6.410000	1.080271
6.430000	0.357854
6.450000	0.889095
6.470000	1.413771
6.490000	0.351268
6.510000	0.698225
6.530000	1.561398
6.550000	1.034585
6.570000	1.199679
6.590000	1.192408
6.610000	1.015888
6.630000	0.841474
6.650000	0.669136
6.670000	0.997694
6.690000	1.322316
6.710000	0.657223
6.730000	0.979983
6.750000	0.487092
6.770000	0.645625
6.790000	2.085938
6.810000	1.116610
6.830000	0.792914
6.850000	0.472974
6.870000	1.410674
6.890000	0.623332
6.910000	0.774661
6.930000	1.078274
6.950000	0.918923
6.970000	1.522762
6.990000	0.151406
7.010000	0.903260
7.030000	1.796256
7.050000	1.637239
7.070000	1.035993
7.090000	0.735826
7.110000	0.731692
7.130000	0.727593
7.150000	0.578823
7.170000	1.151196
7.190000	1.287901
7.210000	1.280766
7.230000	1.415210
7.250000	0.844448
7.270000	0.559872
7.290000	1.252810
7.310000	1.245964
7.330000	0.688430
7.350000	0.410813
7.370000	1.361955
7.390000	0.948215
7.410000	1.077832
7.430000	0.804028
7.450000	1.199576
7.470000	0.795440
7.490000	0.659332
7.510000	1.049320
7.530000	0.913284
7.550000	0.908452
7.570000	1.032752
7.590000	1.284145
7.610000	2.171587
7.630000	0.762430
7.650000	1.137673
7.670000	0.628748
7.690000	0.875675
7.710000	0.497793
7.730000	0.990441
7.750000	0.739002
7.770000	0.490135
7.790000	1.097148
7.810000	0.727691
7.830000	1.085967
7.850000	0.720294
7.870000	0.716637
7.890000	1.188348
7.910000	1.064112
7.930000	0.470556
7.950000	0.468191
7.970000	0.232922
7.990000	0.231758
8.010000	0.922407
8.030000	0.688364
8.050000	1.141579
8.070000	0.908742
8.090000	0.678191
8.110000	0.899800
8.130000	0.447689
8.150000	1.225110
8.170000	1.108290
8.190000	0.551442
8.210000	0.878014
8.230000	0.546095
8.250000	1.521661
8.270000	1.189815
8.290000	0.968793
8.310000	0.749883
8.330000	0.746287
8.350000	1.485432
8.370000	1.267150
8.390000	0.840744
8.410000	1.359719
8.430000	0.728686
8.450000	0.828847
8.470000	1.237406
8.490000	0.615791
8.510000	0.612900
8.530000	0.711701
8.550000	0.809572
8.570000	0.604348
8.590000	1.403587
8.610000	0.997910
8.630000	0.993290
8.650000	0.988702
8.670000	0.393658
8.690000	0.979621
8.710000	1.072640
8.730000	0.291199
8.750000	0.966232
8.770000	0.961830
8.790000	0.957459
8.810000	1.048428
8.830000	0.379521
8.850000	1.416780
8.870000	0.470133
8.890000	0.748832
8.910000	1.211395
8.930000	1.020440
8.950000	1.292944
8.970000	0.551651
8.990000	1.556063
9.010000	0.637891
9.030000	1.179412
9.050000	1.083881
9.070000	1.348883
9.090000	0.716242
9.110000	1.158789
9.130000	1.508707
9.150000	1.767199
9.170000	1.231649
9.190000	0.875925
9.210000	0.436062
9.230000	0.347340
9.250000	0.691678
9.270000	1.119133
9.290000	0.685735
9.310000	0.597443
9.330000	0.934818
9.350000	1.184684
9.370000	0.926854
9.390000	0.503405
9.410000	1.002535
9.430000	0.831906
9.450000	0.662711
9.470000	0.907383
9.490000	0.739278
9.510000	0.899766
9.530000	1.058901
9.550000	0.730018
9.570000	1.050067
9.590000	1.287006
9.610000	0.720931
9.630000	0.558397
9.650000	1.191610
9.670000	0.949349
9.690000	0.472717
9.710000	1.569239
9.730000	1.328376
9.750000	0.778195
9.770000	1.162518
9.790000	0.926219
9.810000	0.922446
9.830000	1.224928
9.850000	0.914969
9.870000	0.607510
9.890000	0.680687
9.910000	0.753270
9.930000	0.375119
9.950000	0.971393
9.970000	0.967500
9.990000	0.667128
10.010000	0.959783
10.030000	1.250100
10.050000	1.391615
10.070000	1.386093
10.090000	0.799297
10.110000	0.796138
10.130000	0.937178
10.150000	0.502648
10.170000	0.357623
10.190000	1.068663
10.210000	1.064480
10.230000	1.060322
10.250000	1.197013
10.270000	1.262494
10.290000	1.047993
10.310000	1.252717
10.330000	1.178544
10.350000	1.312111
10.370000	0.894301
10.390000	0.753806
10.410000	0.887441
10.430000	0.612029
10.450000	1.083890
10.470000	0.742330
10.490000	1.075639
10.510000	0.803662
10.530000	0.934048
10.550000	1.462229
10.570000	0.595923
10.590000	1.253312
10.610000	1.445738
10.630000	0.982025
10.650000	0.978340
10.670000	0.909697
10.690000	0.712090
10.710000	1.031903
10.730000	1.606343
10.750000	0.960223
10.770000	1.084215
10.790000	0.826035
10.810000	0.696368
10.830000	0.693799
10.850000	1.005445
10.870000	1.064358
10.890000	1.309970
10.910000	0.683661
10.930000	0.866933
10.950000	1.295653
10.970000	0.983568
10.990000	0.796243
11.010000	0.854380
11.030000	0.729672
11.050000	0.969378
11.070000	1.388450
11.090000	0.842098
11.110000	1.318537
11.130000	1.373521
11.150000	1.190085
11.170000	0.889370
11.190000	1.063433
11.210000	0.706428
11.230000	1.114530
11.250000	0.759864
11.270000	1.164876
11.290000	0.870565
11.310000	0.751823
11.330000	0.749172
11.350000	1.320790
11.370000	0.629462
11.390000	0.912368
11.410000	0.965996
11.430000	0.792745
11.450000	1.241393
11.470000	0.730995
11.490000	0.952591
11.510000	0.893443
11.530000	0.945993
11.550000	0.831812
11.570000	1.160514
11.590000	0.826080
11.610000	1.097648
11.630000	0.875101
11.650000	0.599568
11.670000	0.977752
11.690000	1.190944
11.710000	1.132930
11.730000	0.860244
11.750000	1.071648
11.770000	1.121409
11.790000	1.330485
11.810000	1.060786
11.830000	1.004342
11.850000	0.948273
11.870000	1.260107
11.890000	1.046560
11.910000	0.990895
11.930000	0.883620
11.950000	0.725254
11.970000	0.980986
11.990000	1.337928
12.010000	0.820600
12.030000	1.073460
12.050000	1.630323
12.070000	1.066357
12.090000	0.860387
12.110000	0.655772
12.130000	0.703889
12.150000	1.102473
12.170000	1.098852
12.190000	0.846329
12.210000	1.190906
12.230000	1.187015
12.250000	0.591571
12.270000	0.835329
12.290000	1.175453
12.310000	0.829909
12.330000	0.535259
12.350000	1.164059
12.370000	0.870224
12.390000	0.867416
12.410000	1.056761
12.430000	1.149123
12.450000	1.431793
12.470000	0.856322
12.490000	1.375216
12.510000	0.661776
12.530000	0.989498
12.550000	0.751502
12.570000	0.889571
12.590000	1.400127
12.610000	1.116552
12.630000	1.205770
12.650000	0.970814
12.670000	0.921668
12.690000	1.515962
12.710000	0.915876
12.730000	0.958650
12.750000	1.228687
12.770000	0.861925
12.790000	0.949677
12.810000	1.262285
12.830000	0.764000
12.850000	1.254439
12.870000	0.982570
12.890000	0.623333
12.910000	0.932104
12.930000	0.663731
12.950000	0.926355
12.970000	0.967477
12.990000	0.832977
13.010000	1.223774
13.030000	0.827871
13.050000	0.955651
13.070000	0.779505
13.090000	0.820299
13.110000	0.946924
13.130000	0.729486
13.150000	1.026733
13.170000	0.682411
13.190000	0.850429
13.210000	0.890249
13.230000	0.972089
13.250000	0.884882
13.270000	0.714175
13.290000	0.963331
13.310000	0.793406
13.330000	0.874292
13.350000	0.788658
13.370000	0.827685
13.390000	1.114039
13.410000	0.946167
13.430000	1.025382
13.450000	1.063228
13.470000	0.693125
13.490000	1.544747
13.510000	1.540177
13.530000	0.969870
13.550000	1.168469
13.570000	1.124854
13.590000	0.961325
13.610000	0.838689
13.630000	1.075152
13.650000	1.072003
13.670000	0.950106
13.690000	0.907860
13.710000	1.338140
13.730000	1.138032
13.750000	1.017339
13.770000	1.131430
13.790000	1.089249
13.810000	1.280042
13.830000	1.508405
13.850000	0.655612
13.870000	1.115174
13.890000	1.073622
13.910000	1.223470
13.930000	0.953093
13.950000	0.646247
13.970000	0.720209
13.990000	1.171720
